,country,year,total,sex,suicides_no,population
132,Albania,2000,2544.0,male,17,232000
133,Albania,2000,2544.0,male,10,177400
134,Albania,2000,2544.0,female,2,37800
135,Albania,2000,2544.0,male,1,24900
136,Albania,2000,2544.0,female,6,263900
137,Albania,2000,2544.0,male,5,240000
138,Albania,2000,2544.0,female,5,332200
139,Albania,2000,2544.0,female,3,245800
140,Albania,2000,2544.0,male,4,374700
141,Albania,2000,2544.0,male,1,374900
142,Albania,2000,2544.0,female,0,324700
143,Albania,2000,2544.0,female,0,168000
144,Albania,2001,2544.0,male,22,206484
145,Albania,2001,2544.0,male,34,378826
146,Albania,2001,2544.0,male,11,196670
147,Albania,2001,2544.0,female,2,47254
148,Albania,2001,2544.0,male,10,256039
149,Albania,2001,2544.0,female,9,271359
150,Albania,2001,2544.0,female,12,370191
151,Albania,2001,2544.0,male,1,31044
152,Albania,2001,2544.0,female,6,189799
153,Albania,2001,2544.0,male,6,321556
154,Albania,2001,2544.0,female,4,222771
155,Albania,2001,2544.0,female,2,307356
156,Albania,2002,2544.0,male,4,31007
157,Albania,2002,2544.0,male,23,206286
158,Albania,2002,2544.0,male,35,382139
159,Albania,2002,2544.0,male,13,198130
160,Albania,2002,2544.0,male,15,263067
161,Albania,2002,2544.0,female,14,275970
162,Albania,2002,2544.0,female,15,375113
163,Albania,2002,2544.0,female,7,223685
164,Albania,2002,2544.0,female,1,47407
165,Albania,2002,2544.0,female,4,191712
166,Albania,2002,2544.0,female,1,304850
167,Albania,2002,2544.0,male,1,319473
168,Albania,2003,2544.0,female,6,49088
169,Albania,2003,2544.0,male,16,201520
170,Albania,2003,2544.0,male,28,386196
171,Albania,2003,2544.0,male,15,273235
172,Albania,2003,2544.0,female,14,283709
173,Albania,2003,2544.0,female,9,195699
174,Albania,2003,2544.0,male,9,205433
175,Albania,2003,2544.0,female,9,222941
176,Albania,2003,2544.0,female,13,381760
177,Albania,2003,2544.0,male,1,32667
178,Albania,2003,2544.0,male,4,313204
179,Albania,2003,2544.0,female,0,298477
180,Albania,2004,2544.0,male,4,35526
181,Albania,2004,2544.0,male,39,391767
182,Albania,2004,2544.0,male,16,203938
183,Albania,2004,2544.0,female,20,292268
184,Albania,2004,2544.0,male,19,286768
185,Albania,2004,2544.0,female,3,50970
186,Albania,2004,2544.0,female,11,222389
187,Albania,2004,2544.0,male,10,207202
188,Albania,2004,2544.0,female,17,391436
189,Albania,2004,2544.0,female,3,203841
190,Albania,2004,2544.0,female,3,286705
191,Albania,2004,2544.0,male,1,302181
